text,label,color
urban cyan,urban,cyan
urban yellow,urban,yellow
urban magenta,urban,magenta
urban green,urban,green
urban blue,urban,blue
urban white,urban,white
urban,urban,None
urban red,urban,red
urban light_blue,urban,light_blue
urban light_green,urban,light_green
urban orange,urban,orange
urban purple,urban,purple
urban pink,urban,pink
urban brown,urban,brown
urban gray,urban,gray
urban grey,urban,grey
urban violet,urban,violet
urban silver,urban,silver
urban gold,urban,gold
urban teal,urban,teal
urbans cyan,urban,cyan
urbans yellow,urban,yellow
urbans magenta,urban,magenta
urbans green,urban,green
urbans blue,urban,blue
urbans white,urban,white
urbans,urban,None
urbans red,urban,red
urbans light_blue,urban,light_blue
urbans light_green,urban,light_green
urbans orange,urban,orange
urbans purple,urban,purple
urbans pink,urban,pink
urbans brown,urban,brown
urbans gray,urban,gray
urbans grey,urban,grey
urbans violet,urban,violet
urbans silver,urban,silver
urbans gold,urban,gold
urbans teal,urban,teal
urban areas cyan,urban,cyan
urban areas yellow,urban,yellow
urban areas magenta,urban,magenta
urban areas green,urban,green
urban areas blue,urban,blue
urban areas white,urban,white
urban areas,urban,None
urban areas red,urban,red
urban areas light_blue,urban,light_blue
urban areas light_green,urban,light_green
urban areas orange,urban,orange
urban areas purple,urban,purple
urban areas pink,urban,pink
urban areas brown,urban,brown
urban areas gray,urban,gray
urban areas grey,urban,grey
urban areas violet,urban,violet
urban areas silver,urban,silver
urban areas gold,urban,gold
urban areas teal,urban,teal
cities cyan,urban,cyan
cities yellow,urban,yellow
cities magenta,urban,magenta
cities green,urban,green
cities blue,urban,blue
cities white,urban,white
cities,urban,None
cities red,urban,red
cities light_blue,urban,light_blue
cities light_green,urban,light_green
cities orange,urban,orange
cities purple,urban,purple
cities pink,urban,pink
cities brown,urban,brown
cities gray,urban,gray
cities grey,urban,grey
cities violet,urban,violet
cities silver,urban,silver
cities gold,urban,gold
cities teal,urban,teal
city areas cyan,urban,cyan
city areas yellow,urban,yellow
city areas magenta,urban,magenta
city areas green,urban,green
city areas blue,urban,blue
city areas white,urban,white
city areas,urban,None
city areas red,urban,red
city areas light_blue,urban,light_blue
city areas light_green,urban,light_green
city areas orange,urban,orange
city areas purple,urban,purple
city areas pink,urban,pink
city areas brown,urban,brown
city areas gray,urban,gray
city areas grey,urban,grey
city areas violet,urban,violet
city areas silver,urban,silver
city areas gold,urban,gold
city areas teal,urban,teal
urban regions cyan,urban,cyan
urban regions yellow,urban,yellow
urban regions magenta,urban,magenta
urban regions green,urban,green
urban regions blue,urban,blue
urban regions white,urban,white
urban regions,urban,None
urban regions red,urban,red
urban regions light_blue,urban,light_blue
urban regions light_green,urban,light_green
urban regions orange,urban,orange
urban regions purple,urban,purple
urban regions pink,urban,pink
urban regions brown,urban,brown
urban regions gray,urban,gray
urban regions grey,urban,grey
urban regions violet,urban,violet
urban regions silver,urban,silver
urban regions gold,urban,gold
urban regions teal,urban,teal
agriculture cyan,agriculture,cyan
agriculture yellow,agriculture,yellow
agriculture magenta,agriculture,magenta
agriculture green,agriculture,green
agriculture blue,agriculture,blue
agriculture white,agriculture,white
agriculture,agriculture,None
agriculture red,agriculture,red
agriculture light_blue,agriculture,light_blue
