text,label,color
The desert regions  should be white.,barren,white
Make sure all rivers areas are magenta??,water,magenta
Apply blue to the woods regions..,forest,blue
Change  the color of miscellaneous areas to yellow!,unknown,yellow
Please fill the other areas with cyan? well,unknown,cyan
Change  the color of city areas to yellow....,urban,yellow
The farms regions kind of should be blue.,agriculture,blue
The metropolitan regions should be magenta! you know,urban,magenta
Can you color the forest regions using green?,forest,green
like Make sure all water bodies areas are black...,water,black
Could you mark  the woods areas with blue...,forest,blue
ApPlY Cyan To the wATeR reGiONS?,water,cyan
The grassland regions  should be black!,rangeland,black
Apply yellow to the desert regions!,barren,yellow
shouuld built-up regions  should be yellow...,urban,yellow
I NeEd the farms paRts tO be yelLOw! kind of,agriculture,yellow
Apply magenta to the metropolitan regions!,urban,magenta
Use gREen tO differentiate UNproductIve land aReas...,barren,green
Make sure all jungle areas are magenta!,forest,magenta
Make sure all grassland areas are green...,rangeland,green
The lakes regions  greenn! be green!,water,green
um Could you differentiate you know the residential areas with green....,urban,green
I need the timberland parts  to be magenta!,forest,magenta
UsE wHiTE tO CoLor grovE areas! um,forest,white
Make sure all built-up areas are blue......,urban,blue
PlEase CoLOr tHE MeaDow aREaS with mAgENta..,rangeland,magenta
I need like the meadow parts to be black.........,rangeland,black
I need the water bodies parts  to be yellow......,water,yellow
Change so the coolor of farmland areas to yellow..,agriculture,yellow
ThE cropland REgions  Should bE cYan!,agriculture,cyan
Make sure all cultivated land areas are black?,agriculture,black
well Use magenta to differentiate metropolitan areas?,urban,magenta
Make sure all wasteland areas are green..,barren,green
Change  the color of jungle areas to blue...,forest,blue
I need the other parts to be actually blue..,unknown,blue
Could so you show the rivers areas with yellow.,water,yellow
Can you differentiate the rangeland regions using yellow....,rangeland,yellow
Apply white to the you know unknown regions...,unknown,white
I need the farms parts  to be blue???,agriculture,blue
The timberland regions  should be black!,forest,black
Use white to mark kind of unspecified areas...,unknown,white
I need the farms parts kind of kind of to be cyan!,agriculture,cyan
I need the forest parts so to be white.,forest,white
Use blue to identify other areas!!!,unknown,blue
Could you display actually the unspecified like areas with white!,unknown,white
Please kind of mark the water areas with cyan?,water,cyan
